,ID,name,club,age,league,height_cm,weight_kg,nationality,puntaje_global,potencia,ritmo,disparos,pases,amagues,defensa,fisico
21,194765,A. Griezmann,Atlético Madrid,26,Spanish Primera División,174.0,72.0,France,88,91,86,85,78,87,30,68
22,189509,Thiago,FC Bayern Munich,26,German Bundesliga,174.0,70.0,Spain,88,90,72,75,85,90,62,63
23,188567,P. Aubameyang,Borussia Dortmund,28,German Bundesliga,187.0,80.0,Gabon,88,88,96,84,75,81,37,71
24,184344,L. Bonucci,Milan,30,Italian Serie A,190.0,85.0,Italy,88,88,68,54,70,70,87,81
25,183907,J. Boateng,FC Bayern Munich,28,German Bundesliga,192.0,90.0,Germany,88,88,75,50,72,67,88,84
26,182493,D. Godín,Atlético Madrid,31,Spanish Primera División,186.0,78.0,Uruguay,88,88,67,48,65,63,88,79
27,178603,M. Hummels,FC Bayern Munich,28,German Bundesliga,191.0,92.0,Germany,88,88,64,58,75,71,89,76
28,176635,M. Özil,Arsenal,28,English Premier League,180.0,76.0,Germany,88,88,71,74,87,86,24,58
29,167948,H. Lloris,Tottenham Hotspur,30,English Premier League,188.0,82.0,France,88,88,88,86,68,90,64,82
30,164240,Thiago Silva,Paris Saint-Germain,32,French Ligue 1,183.0,79.0,Brazil,88,88,72,56,73,73,89,79
31,41236,Z. Ibrahimović,Manchester United,35,English Premier League,195.0,95.0,Sweden,88,88,65,88,81,82,32,82
32,9014,A. Robben,FC Bayern Munich,33,German Bundesliga,180.0,80.0,Netherlands,88,88,86,86,81,91,32,63
33,215914,N. Kanté,Chelsea,26,English Premier League,168.0,68.0,France,87,90,81,66,75,79,81,84
34,199556,M. Verratti,Paris Saint-Germain,24,French Ligue 1,165.0,60.0,Italy,87,91,65,59,84,89,79,68
35,195864,P. Pogba,Manchester United,24,English Premier League,191.0,84.0,France,87,92,74,79,84,85,68,88
36,190460,C. Eriksen,Tottenham Hotspur,25,English Premier League,182.0,76.0,Denmark,87,91,75,78,88,84,47,63
37,181872,A. Vidal,FC Bayern Munich,30,German Bundesliga,180.0,75.0,Chile,87,87,75,81,80,79,83,84
38,179813,E. Cavani,Paris Saint-Germain,30,French Ligue 1,184.0,71.0,Uruguay,87,87,77,83,72,80,42,81
39,176676,Marcelo,Real Madrid CF,29,Spanish Primera División,174.0,75.0,Brazil,87,87,78,69,80,86,83,79
40,171877,M. Hamšík,Napoli,29,Italian Serie A,183.0,79.0,Slovakia,87,87,74,80,84,84,68,71
41,168651,I. Rakitić,FC Barcelona,29,Spanish Primera División,184.0,78.0,Croatia,87,87,65,84,86,83,60,66
42,168542,David Silva,Manchester City,31,English Premier League,173.0,67.0,Spain,87,87,68,72,87,87,38,61
43,162835,S. Handanovič,Inter,32,Italian Serie A,193.0,92.0,Slovenia,87,87,87,86,69,87,56,87
44,152729,Piqué,FC Barcelona,30,Spanish Primera División,194.0,85.0,Spain,87,87,65,61,69,65,86,76
45,41,Iniesta,FC Barcelona,33,Spanish Primera División,171.0,68.0,Spain,87,87,71,70,87,90,58,58
46,202126,H. Kane,Tottenham Hotspur,23,English Premier League,188.0,86.0,England,86,90,73,87,72,78,42,83
47,198710,J. Rodríguez,FC Bayern Munich,25,German Bundesliga,180.0,75.0,Colombia,86,89,76,85,85,83,40,68
48,197781,Isco,Real Madrid CF,25,Spanish Primera División,176.0,74.0,Spain,86,90,71,83,82,89,54,62
49,197445,D. Alaba,FC Bayern Munich,25,German Bundesliga,180.0,76.0,Austria,86,88,86,73,81,80,82,74
50,192505,R. Lukaku,Manchester United,24,English Premier League,190.0,94.0,Belgium,86,90,83,85,70,74,34,84
51,191043,Alex Sandro,Juventus,26,Italian Serie A,181.0,81.0,Brazil,86,88,86,65,77,81,81,84
52,189596,T. Müller,FC Bayern Munich,27,German Bundesliga,186.0,75.0,Germany,86,86,77,82,77,78,46,71
53,189511,Sergio Busquets,FC Barcelona,28,Spanish Primera División,189.0,76.0,Spain,86,86,40,59,79,74,82,81
54,189242,Coutinho,Liverpool,25,English Premier League,171.0,71.0,Brazil,86,89,82,78,83,88,35,64
55,188350,M. Reus,Borussia Dortmund,28,German Bundesliga,180.0,75.0,Germany,86,86,88,87,84,86,39,64
56,184087,T. Alderweireld,Tottenham Hotspur,28,English Premier League,187.0,91.0,Belgium,86,87,66,58,72,65,87,80
57,179944,David Luiz,Chelsea,30,English Premier League,189.0,84.0,Brazil,86,86,70,64,74,71,84,81
58,179844,Diego Costa,Chelsea,28,English Premier League,186.0,87.0,Spain,86,86,75,83,65,76,40,88
59,178518,R. Nainggolan,Roma,29,Italian Serie A,176.0,77.0,Belgium,86,86,78,80,78,82,81,83
60,177610,Javi Martínez,FC Bayern Munich,28,German Bundesliga,190.0,81.0,Spain,86,86,50,60,69,65,86,80
61,175943,D. Mertens,Napoli,30,Italian Serie A,169.0,61.0,Belgium,86,86,90,82,79,89,36,55
62,172879,Sokratis,Borussia Dortmund,29,German Bundesliga,186.0,85.0,Greece,86,86,78,52,55,60,87,84
63,168609,Miranda,Inter,32,Italian Serie A,186.0,78.0,Brazil,86,86,71,49,60,67,88,77
64,165153,K. Benzema,Real Madrid CF,29,Spanish Primera División,187.0,79.0,France,86,86,78,82,78,82,22,74
65,162895,Cesc Fàbregas,Chelsea,30,English Premier League,180.0,77.0,Spain,86,86,63,77,88,80,61,64
66,156616,F. Ribéry,FC Bayern Munich,34,German Bundesliga,170.0,72.0,France,86,86,82,76,83,90,25,58
67,120533,Pepe,Beşiktaş JK,34,Turkish Süper Lig,188.0,81.0,Portugal,86,86,68,51,57,61,86,80
68,48940,P. Čech,Arsenal,35,English Premier League,196.0,90.0,Czech Republic,86,86,82,87,76,81,42,83
69,208418,Y. Carrasco,Atlético Madrid,23,Spanish Primera División,180.0,67.0,Belgium,85,90,88,79,78,88,29,63
70,201535,R. Varane,Real Madrid CF,24,Spanish Primera División,191.0,78.0,France,85,92,83,45,61,64,84,79
71,201153,Morata,Chelsea,24,English Premier League,189.0,85.0,Spain,85,89,83,81,71,80,24,74
72,200145,Casemiro,Real Madrid CF,25,Spanish Primera División,184.0,80.0,Brazil,85,89,62,68,74,72,84,86
73,198219,L. Insigne,Napoli,26,Italian Serie A,163.0,59.0,Italy,85,86,90,74,82,89,25,50
74,193747,Koke,Atlético Madrid,25,Spanish Primera División,178.0,74.0,Spain,85,88,72,75,86,82,65,76
75,193301,A. Lacazette,Arsenal,26,English Premier League,175.0,73.0,France,85,88,86,83,71,85,38,77
76,193041,K. Navas,Real Madrid CF,30,Spanish Primera División,185.0,78.0,Costa Rica,85,85,89,78,72,88,53,80
77,192883,H. Mkhitaryan,Manchester United,28,English Premier League,177.0,75.0,Armenia,85,85,86,79,80,87,54,70
78,192593,D. Subašić,AS Monaco,32,French Ligue 1,191.0,84.0,Croatia,85,85,84,79,79,87,53,85
79,192563,B. Leno,Bayer 04 Leverkusen,25,German Bundesliga,190.0,83.0,Germany,85,88,85,84,74,83,49,85
80,192448,M. ter Stegen,FC Barcelona,25,Spanish Primera División,187.0,85.0,Germany,85,89,84,83,87,86,45,81
81,190547,K. Glik,AS Monaco,29,French Ligue 1,190.0,80.0,Poland,85,85,56,32,44,53,86,84
82,189332,Jordi Alba,FC Barcelona,28,Spanish Primera División,170.0,68.0,Spain,85,85,93,69,75,82,81,72
83,186942,I. Gündoğan,Manchester City,26,English Premier League,180.0,80.0,Germany,85,87,71,74,83,87,64,71
84,184432,Azpilicueta,Chelsea,27,English Premier League,178.0,78.0,Spain,85,87,79,55,75,74,86,78
85,183898,A. Di María,Paris Saint-Germain,29,French Ligue 1,180.0,75.0,Argentina,85,85,86,77,82,86,47,68
86,180206,M. Pjanić,Juventus,27,Italian Serie A,180.0,70.0,Bosnia Herzegovina,85,86,74,71,86,86,67,69
87,173210,C. Marchisio,Juventus,31,Italian Serie A,180.0,73.0,Italy,85,85,78,72,83,84,76,74
88,172871,J. Vertonghen,Tottenham Hotspur,30,English Premier League,189.0,88.0,Belgium,85,85,67,65,73,70,85,81
89,170890,B. Matuidi,Juventus,30,Italian Serie A,175.0,70.0,France,85,85,78,67,77,75,83,84
90,167628,S. Ruffier,AS Saint-Étienne,30,French Ligue 1,188.0,93.0,France,85,85,82,84,77,87,48,85
91,164169,Filipe Luís,Atlético Madrid,31,Spanish Primera División,182.0,73.0,Brazil,85,85,79,62,77,77,82,79
92,139720,V. Kompany,Manchester City,31,English Premier League,193.0,85.0,Belgium,85,85,63,54,65,64,84,83
93,137186,A. Barzagli,Juventus,36,Italian Serie A,187.0,87.0,Italy,85,85,71,34,57,64,88,73
94,225508,E. Bailly,Manchester United,23,English Premier League,187.0,77.0,Ivory Coast,84,89,78,42,59,65,84,84
95,220834,Marco Asensio,Real Madrid CF,21,Spanish Primera División,180.0,75.0,Spain,84,92,82,82,83,83,39,61
96,218667,Bernardo Silva,Manchester City,22,English Premier League,173.0,64.0,Portugal,84,91,81,72,81,90,45,61
97,212218,A. Laporte,Athletic Club de Bilbao,23,Spanish Primera División,189.0,85.0,France,84,89,69,50,66,61,86,78
98,211117,D. Alli,Tottenham Hotspur,21,English Premier League,188.0,80.0,England,84,90,76,81,77,82,64,78
99,208722,S. Mané,Liverpool,25,English Premier League,175.0,69.0,Senegal,84,87,93,78,75,85,36,75
100,204963,Carvajal,Real Madrid CF,25,Spanish Primera División,173.0,73.0,Spain,84,87,82,45,73,79,83,79
101,202166,J. Draxler,Paris Saint-Germain,23,French Ligue 1,187.0,72.0,Germany,84,87,78,80,82,86,34,64
102,201399,M. Icardi,Inter,24,Italian Serie A,181.0,75.0,Argentina,84,89,78,83,61,75,26,70
103,201024,K. Koulibaly,Napoli,26,Italian Serie A,195.0,89.0,Senegal,84,87,73,26,43,56,85,86
104,200316,T. Horn,1. FC Köln,24,German Bundesliga,192.0,90.0,Germany,84,90,83,81,83,86,48,82
105,192774,K. Manolas,Roma,26,Italian Serie A,189.0,83.0,Greece,84,86,80,19,42,60,86,83
106,192227,S. Mustafi,Arsenal,25,English Premier League,184.0,82.0,Germany,84,86,67,57,63,62,83,79
107,191740,Ander Herrera,Manchester United,27,English Premier League,182.0,70.0,Spain,84,84,73,72,81,83,78,77
108,191202,N. Matić,Manchester United,28,English Premier League,194.0,85.0,Serbia,84,84,64,70,77,72,80,87
109,189712,K. Strootman,Roma,27,Italian Serie A,186.0,78.0,Netherlands,84,85,67,74,82,78,78,82
110,189505,Pedro,Chelsea,29,English Premier League,169.0,65.0,Spain,84,84,82,77,77,85,37,62
111,189117,R. Bürki,Borussia Dortmund,26,German Bundesliga,187.0,85.0,Switzerland,84,86,84,83,73,85,48,79
112,184120,Bruno,Villarreal CF,33,Spanish Primera División,184.0,73.0,Spain,84,84,41,72,79,75,78,77
113,181458,I. Perišić,Inter,28,Italian Serie A,187.0,80.0,Croatia,84,84,84,80,78,82,42,75
114,180930,E. Džeko,Roma,31,Italian Serie A,193.0,84.0,Bosnia Herzegovina,84,84,64,83,70,74,32,72
115,180403,Willian,Chelsea,28,English Premier League,175.0,77.0,Brazil,84,84,88,76,81,86,49,64
116,179846,S. Khedira,Juventus,30,Italian Serie A,189.0,89.0,Germany,84,84,64,74,80,76,80,84
117,179783,R. Fährmann,FC Schalke 04,28,German Bundesliga,196.0,95.0,Germany,84,85,83,86,52,87,43,85
118,178750,Sergio Asenjo,Villarreal CF,28,Spanish Primera División,189.0,87.0,Spain,84,85,86,83,76,85,56,82
119,178088,Juan Mata,Manchester United,29,English Premier League,170.0,63.0,Spain,84,84,67,76,84,84,32,55
120,177509,M. Benatia,Juventus,30,Italian Serie A,190.0,92.0,Morocco,84,84,74,42,54,64,85,82
121,167397,Falcao,AS Monaco,31,French Ligue 1,177.0,72.0,Colombia,84,84,69,84,68,78,37,74
122,165229,L. Koscielny,Arsenal,31,English Premier League,186.0,75.0,France,84,84,75,41,62,65,85,78
123,164468,G. Cahill,Chelsea,31,English Premier League,193.0,86.0,England,84,84,63,58,52,61,84,78
124,146530,Dani Alves,Paris Saint-Germain,34,French Ligue 1,172.0,68.0,Brazil,84,84,82,68,81,85,77,66
125,143076,A. Gómez,Atalanta,29,Italian Serie A,165.0,68.0,Argentina,84,84,90,77,80,89,31,58
126,106231,Aduriz,Athletic Club de Bilbao,36,Spanish Primera División,182.0,78.0,Spain,84,84,70,83,65,77,46,80
127,231747,K. Mbappé,Paris Saint-Germain,18,French Ligue 1,178.0,73.0,France,83,94,90,80,74,85,47,74
128,231443,O. Dembélé,FC Barcelona,20,Spanish Primera División,178.0,67.0,France,83,92,91,76,75,89,33,56
129,220971,N. Keïta,RB Leipzig,22,German Bundesliga,172.0,64.0,Guinea,83,88,73,71,77,89,62,70
130,216460,J. Giménez,Atlético Madrid,22,Spanish Primera División,185.0,76.0,Uruguay,83,87,70,45,51,52,84,81
131,215316,G. Rulli,Real Sociedad,25,Spanish Primera División,189.0,84.0,Argentina,83,89,85,79,75,86,51,82
132,213565,T. Lemar,AS Monaco,21,French Ligue 1,170.0,58.0,France,83,91,85,78,80,86,62,70
133,212814,João Mário,Inter,24,Italian Serie A,179.0,73.0,Portugal,83,88,73,70,80,83,70,71
134,212190,N. Süle,FC Bayern Munich,21,German Bundesliga,195.0,97.0,Germany,83,89,65,41,51,49,83,81
135,210257,Ederson,Manchester City,23,English Premier League,188.0,86.0,Brazil,83,89,81,76,82,87,63,78
136,209658,L. Goretzka,FC Schalke 04,22,German Bundesliga,189.0,79.0,Germany,83,88,85,74,80,80,78,76
137,209499,Fabinho,AS Monaco,23,French Ligue 1,188.0,78.0,Brazil,83,88,74,65,76,76,83,83
138,209331,M. Salah,Liverpool,25,English Premier League,175.0,71.0,Egypt,83,86,93,73,74,87,45,66
139,208596,A. Belotti,Torino,23,Italian Serie A,181.0,72.0,Italy,83,90,82,81,57,78,29,84
140,208448,E. Forsberg,RB Leipzig,25,German Bundesliga,179.0,78.0,Sweden,83,85,75,74,83,83,30,66
141,207865,Marquinhos,Paris Saint-Germain,23,French Ligue 1,183.0,75.0,Brazil,83,89,71,38,68,69,84,76
142,207566,William Carvalho,Sporting CP,25,Portuguese Primeira Liga,187.0,83.0,Portugal,83,86,53,57,77,74,80,83
143,205600,S. Umtiti,FC Barcelona,23,Spanish Primera División,182.0,75.0,France,83,88,74,64,71,71,82,79
144,204485,R. Mahrez,Leicester City,26,English Premier League,179.0,67.0,Algeria,83,84,82,74,78,88,28,55
145,203376,V. van Dijk,Southampton,25,English Premier League,193.0,92.0,Netherlands,83,86,73,60,67,69,83,85
146,201942,Roberto Firmino,Liverpool,25,English Premier League,181.0,76.0,Brazil,83,86,77,81,79,85,46,77
147,200888,Danilo Pereira,FC Porto,25,Portuguese Primeira Liga,188.0,83.0,Portugal,83,86,68,62,69,74,82,87
148,199715,Vitolo,UD Las Palmas,27,Spanish Primera División,184.0,80.0,Spain,83,83,80,77,79,83,28,76
149,199482,A. Lopes,Olympique Lyonnais,26,French Ligue 1,184.0,81.0,Portugal,83,85,86,79,73,85,62,79
150,198176,S. de Vrij,Lazio,25,Italian Serie A,189.0,78.0,Netherlands,83,88,68,41,58,65,85,76
151,198009,M. Perin,Genoa,24,Italian Serie A,188.0,77.0,Italy,83,88,80,85,71,90,56,78
152,197061,J. Matip,Liverpool,25,English Premier League,195.0,90.0,Cameroon,83,85,67,46,68,66,84,78
153,193474,I. Gueye,Everton,27,English Premier League,174.0,66.0,Senegal,83,84,76,60,70,77,83,81
154,192629,Iago Aspas,RC Celta de Vigo,29,Spanish Primera División,176.0,67.0,Spain,83,83,81,83,73,85,29,63
155,192387,C. Immobile,Lazio,27,Italian Serie A,185.0,85.0,Italy,83,84,83,84,61,79,38,76
156,192366,N. Otamendi,Manchester City,29,English Premier League,183.0,81.0,Argentina,83,83,63,56,59,54,83,81
157,191180,J. Pastore,Paris Saint-Germain,28,French Ligue 1,187.0,78.0,Argentina,83,83,71,75,83,85,58,64
158,189513,Parejo,Valencia CF,28,Spanish Primera División,182.0,74.0,Spain,83,83,52,77,87,78,61,69
159,189358,S. Kagawa,Borussia Dortmund,28,German Bundesliga,175.0,68.0,Japan,83,83,70,68,76,87,34,49
160,189125,G. Bonaventura,Milan,27,Italian Serie A,181.0,75.0,Italy,83,83,78,77,82,83,67,73
161,189068,B. Dost,Sporting CP,28,Portuguese Primeira Liga,196.0,89.0,Netherlands,83,83,60,83,57,64,43,83
162,188377,K. Walker,Manchester City,27,English Premier League,183.0,83.0,England,83,84,90,63,73,76,80,81
163,188152,Oscar,,25,,179.0,67.0,Brazil,83,86,74,75,79,82,43,47
164,187936,S. N'Zonzi,Sevilla FC,28,Spanish Primera División,190.0,75.0,France,83,83,57,67,73,71,80,88
165,186547,M. Musacchio,Milan,26,Italian Serie A,180.0,73.0,Argentina,83,86,70,51,67,58,84,78
166,185239,O. Toprak,Borussia Dortmund,27,German Bundesliga,186.0,83.0,Turkey,83,84,76,39,62,67,85,75
167,185020,José Callejón,Napoli,30,Italian Serie A,178.0,73.0,Spain,83,83,90,78,71,83,35,65
168,184826,Adrien Silva,,28,,175.0,69.0,Portugal,83,83,65,76,82,81,78,72
169,184431,S. Giovinco,Toronto FC,30,USA Major League Soccer,163.0,61.0,Italy,83,83,84,81,79,87,27,57
170,184144,N. Gaitán,Atlético Madrid,29,Spanish Primera División,173.0,68.0,Argentina,83,83,81,74,81,85,39,55
171,181783,M. Mandžukić,Juventus,31,Italian Serie A,190.0,86.0,Croatia,83,83,72,78,71,74,65,87
172,180819,A. Lallana,Liverpool,29,English Premier League,172.0,73.0,England,83,83,73,75,80,84,65,74
173,179784,B. Höwedes,Juventus,29,Italian Serie A,187.0,82.0,Germany,83,83,64,47,63,64,83,77
174,178562,E. Banega,Sevilla FC,29,Spanish Primera División,174.0,71.0,Argentina,83,83,69,70,85,84,62,67
175,178005,Rui Patrício,Sporting CP,29,Portuguese Primeira Liga,190.0,84.0,Portugal,83,83,85,81,80,82,55,79
176,177683,Y. Sommer,Borussia Mönchengladbach,28,German Bundesliga,183.0,79.0,Switzerland,83,84,81,82,83,83,51,80
177,177388,D. Payet,Olympique de Marseille,30,French Ligue 1,175.0,77.0,France,83,83,74,78,85,87,37,69
178,177358,M. Schneiderlin,Everton,27,English Premier League,185.0,75.0,France,83,84,68,62,76,77,79,81
179,176769,Jonas,SL Benfica,33,Portuguese Primeira Liga,182.0,74.0,Brazil,83,83,65,85,75,84,35,65
180,173771,L. Piszczek,Borussia Dortmund,32,German Bundesliga,184.0,79.0,Poland,83,83,79,69,76,74,81,80
181,170481,E. Garay,Valencia CF,30,Spanish Primera División,189.0,90.0,Argentina,83,83,43,64,66,64,84,80
182,167905,A. Valencia,Manchester United,31,English Premier League,180.0,83.0,Ecuador,83,83,87,66,75,81,78,85
183,163587,K. Schmeichel,Leicester City,30,English Premier League,189.0,89.0,Denmark,83,84,83,82,82,86,61,80
184,162240,M. Dembélé,Tottenham Hotspur,29,English Premier League,185.0,88.0,Belgium,83,83,76,72,77,85,75,84
185,161956,Borja Valero,Inter,32,Italian Serie A,175.0,73.0,Spain,83,83,70,69,85,86,63,65
186,159147,L. Perrin,AS Saint-Étienne,31,French Ligue 1,181.0,80.0,France,83,83,68,65,69,67,86,80
187,158963,L. Biglia,Milan,31,Italian Serie A,178.0,63.0,Argentina,83,83,69,63,81,80,75,75
188,146748,Diego López,RCD Espanyol,35,Spanish Primera División,196.0,89.0,Spain,83,83,77,84,76,80,44,83
189,146562,Santi Cazorla,Arsenal,32,English Premier League,168.0,66.0,Spain,83,83,65,76,85,85,61,63
190,142754,J. Mascherano,FC Barcelona,33,Spanish Primera División,174.0,73.0,Argentina,83,83,65,53,71,68,82,77
191,139869,W. Sneijder,OGC Nice,33,French Ligue 1,170.0,72.0,Netherlands,83,83,69,78,86,82,38,57
192,139068,Nani,Lazio,30,Italian Serie A,177.0,68.0,Portugal,83,83,81,79,81,86,24,64
193,53302,D. De Rossi,Roma,33,Italian Serie A,184.0,83.0,Italy,83,83,68,64,73,70,81,82
194,24630,José Reina,Napoli,34,Italian Serie A,188.0,92.0,Spain,83,83,80,83,82,82,57,82
195,20775,Quaresma,Beşiktaş JK,33,Turkish Süper Lig,175.0,67.0,Portugal,83,83,83,76,81,88,18,60
196,20289,Y. Touré,Manchester City,34,English Premier League,189.0,90.0,Ivory Coast,83,83,63,82,80,76,70,83
197,5479,Casillas,FC Porto,36,Portuguese Primeira Liga,185.0,84.0,Spain,83,83,86,74,58,85,58,80
198,230621,G. Donnarumma,Milan,18,Italian Serie A,196.0,90.0,Italy,82,94,88,78,72,88,50,78
199,222492,L. Sané,Manchester City,21,English Premier League,183.0,75.0,Germany,82,91,94,77,72,86,35,70
200,219809,T. Bakayoko,Chelsea,22,English Premier League,189.0,85.0,France,82,88,73,49,70,77,81,83
201,219683,C. Tolisso,FC Bayern Munich,22,German Bundesliga,181.0,78.0,France,82,89,74,76,78,78,76,83
202,216594,N. Fekir,Olympique Lyonnais,23,French Ligue 1,173.0,78.0,France,82,86,80,78,77,87,31,75
203,216451,J. Seri,OGC Nice,25,French Ligue 1,168.0,65.0,Ivory Coast,82,83,80,71,82,81,72,74
204,215785,K. Baldé Diao,AS Monaco,22,French Ligue 1,181.0,80.0,Senegal,82,90,92,76,72,86,29,70
205,213331,J. Tah,Bayer 04 Leverkusen,21,German Bundesliga,192.0,92.0,Germany,82,88,72,27,58,58,82,78
206,212404,F. Bernardeschi,Juventus,23,Italian Serie A,183.0,75.0,Italy,82,88,84,76,77,86,34,65
207,212188,T. Werner,RB Leipzig,21,German Bundesliga,180.0,75.0,Germany,82,87,92,79,65,81,28,65
208,211575,André Gomes,FC Barcelona,23,Spanish Primera División,188.0,84.0,Portugal,82,88,68,71,78,78,71,81
209,211300,A. Martial,Manchester United,21,English Premier League,181.0,76.0,France,82,90,90,79,71,86,41,74
210,208808,Q. Promes,Spartak Moscow,25,Russian Premier League,174.0,72.0,Netherlands,82,85,89,81,76,83,29,67
211,208618,Lucas Vázquez,Real Madrid CF,26,Spanish Primera División,173.0,70.0,Spain,82,83,83,73,81,82,43,67
212,208421,Saúl,Atlético Madrid,22,Spanish Primera División,181.0,70.0,Spain,82,90,73,69,78,81,77,75
213,207863,Felipe,FC Porto,28,Portuguese Primeira Liga,185.0,77.0,Brazil,82,82,68,41,59,61,83,81
214,207664,C. Bacca,Villarreal CF,30,Spanish Primera División,181.0,77.0,Colombia,82,82,77,79,64,79,24,70
215,207471,F. Vázquez,Sevilla FC,28,Spanish Primera División,186.0,82.0,Italy,82,82,64,77,80,83,43,76
216,207410,M. Kovačić,Real Madrid CF,23,Spanish Primera División,178.0,77.0,Croatia,82,88,81,69,82,85,61,71
217,206652,Sergio Rico,Sevilla FC,23,Spanish Primera División,194.0,88.0,Spain,82,87,79,80,78,83,52,82
218,206545,Manu Trigueros,Villarreal CF,25,Spanish Primera División,178.0,71.0,Spain,82,85,73,74,80,81,65,69
219,205452,A. Rüdiger,Chelsea,24,English Premier League,190.0,85.0,Germany,82,86,74,40,64,63,82,79
220,204970,F. Thauvin,Olympique de Marseille,24,French Ligue 1,179.0,70.0,France,82,85,82,76,78,84,36,63
221,204639,S. Savić,Atlético Madrid,26,Spanish Primera División,187.0,79.0,Montenegro,82,86,63,35,52,56,83,74
222,204525,Iñigo Martínez,Real Sociedad,26,Spanish Primera División,182.0,79.0,Spain,82,86,71,56,63,61,82,79
223,204277,Roque Mesa,Swansea City,28,English Premier League,171.0,74.0,Spain,82,82,77,61,76,77,73,80
224,203551,A. Florenzi,Roma,26,Italian Serie A,173.0,67.0,Italy,82,84,85,79,78,82,76,76
225,203483,D. Klaassen,Everton,24,English Premier League,179.0,70.0,Netherlands,82,85,73,80,74,74,67,79
226,202857,K. Bellarabi,Bayer 04 Leverkusen,27,German Bundesliga,183.0,80.0,Germany,82,82,92,77,74,85,33,68
227,202652,R. Sterling,Manchester City,22,English Premier League,170.0,69.0,England,82,87,93,71,74,85,46,61
228,202651,Suso,Milan,23,Italian Serie A,176.0,70.0,Spain,82,87,82,75,81,87,23,51
229,202477,Deulofeu,FC Barcelona,23,Spanish Primera División,177.0,73.0,Spain,82,89,93,70,75,88,26,61
230,202335,E. Dier,Tottenham Hotspur,23,English Premier League,188.0,90.0,England,82,87,72,63,71,65,81,85
231,201862,M. Rojo,Manchester United,27,English Premier League,187.0,80.0,Argentina,82,83,71,59,69,68,81,83
232,200949,Lucas,Paris Saint-Germain,24,French Ligue 1,172.0,72.0,Brazil,82,85,93,74,75,86,45,62
233,200104,H. Son,Tottenham Hotspur,24,English Premier League,183.0,77.0,Korea Republic,82,85,86,83,75,83,25,66
234,199845,F. Acerbi,Sassuolo,29,Italian Serie A,192.0,88.0,Italy,82,82,62,50,58,58,85,77
235,199503,G. Xhaka,Arsenal,24,English Premier League,185.0,82.0,Switzerland,82,85,50,66,79,72,72,78
236,198164,Jonathan Viera,UD Las Palmas,27,Spanish Primera División,170.0,64.0,Spain,82,82,81,75,81,86,53,68
237,197965,Pizzi,SL Benfica,27,Portuguese Primeira Liga,177.0,72.0,Portugal,82,82,79,77,81,83,61,69
238,195093,Willian José,Real Sociedad,25,Spanish Primera División,189.0,93.0,Brazil,82,86,67,82,65,76,37,77
