ID,make,fuel_type,num_of_doors,horsepower,price
134,subaru,gas,two,73,7053
135,subaru,gas,two,73,7603
136,subaru,gas,four,82,7126
137,subaru,gas,four,82,7775
138,subaru,gas,four,94,9960
139,subaru,gas,four,82,9233
140,subaru,gas,four,111,11259
141,subaru,gas,four,82,7463
142,subaru,gas,four,94,10198
143,subaru,gas,four,82,8013
144,subaru,gas,four,111,11694
145,toyota,gas,two,62,5348
146,toyota,gas,two,62,6338
147,toyota,gas,four,62,6488
148,toyota,gas,four,62,6918
149,toyota,gas,four,62,7898
150,toyota,gas,four,62,8778
151,toyota,gas,four,70,6938
152,toyota,gas,four,70,7198
153,toyota,diesel,four,56,7898
154,toyota,diesel,four,56,7788
155,toyota,gas,four,70,7738
156,toyota,gas,four,70,8358
157,toyota,gas,four,70,9258
158,toyota,gas,two,70,8058
159,toyota,gas,two,70,8238
160,toyota,gas,two,112,9298
161,toyota,gas,two,112,9538
162,toyota,gas,two,116,8449
163,toyota,gas,two,116,9639
164,toyota,gas,two,116,9989
165,toyota,gas,two,116,11199
166,toyota,gas,two,116,11549
167,toyota,gas,two,116,17669
168,toyota,gas,four,92,8948
169,toyota,diesel,four,73,10698
170,toyota,gas,four,92,9988
171,toyota,gas,four,92,10898
172,toyota,gas,four,92,11248
173,toyota,gas,two,161,16558
174,toyota,gas,two,161,15998
175,toyota,gas,four,156,15690
176,toyota,gas,four,156,15750
177,volkswagen,diesel,two,52,7775
178,volkswagen,gas,two,85,7975
179,volkswagen,diesel,four,52,7995
180,volkswagen,gas,four,85,8195
181,volkswagen,gas,four,85,8495
182,volkswagen,diesel,four,68,9495
183,volkswagen,gas,four,100,9995
184,volkswagen,gas,two,90,11595
185,volkswagen,gas,two,90,9980
186,volkswagen,gas,four,110,13295
187,volkswagen,diesel,four,68,13845
188,volkswagen,gas,four,88,12290
189,volvo,gas,four,114,12940
190,volvo,gas,four,114,13415
191,volvo,gas,four,114,15985
192,volvo,gas,four,114,16515
193,volvo,gas,four,162,18420
194,volvo,gas,four,162,18950
195,volvo,gas,four,114,16845
196,volvo,gas,four,160,19045
197,volvo,gas,four,134,21485
198,volvo,diesel,four,106,22470
199,volvo,gas,four,114,22625
